fold,mode,split,source_file,class_label,count,score_mean,score_q50,score_q95,score_max,fraction_above_threshold
4,ri4,test,20260202_144841,target,4,0.903076171875,0.9560546875,0.9770263671875,0.9775390625,1.0
4,ri4,test,20260202_144849,target,4,0.773193359375,0.776611328125,0.8281005859375,0.82861328125,1.0
4,ri4,test,20260202_144857,target,4,0.73309326171875,0.757080078125,0.94619140625,0.96142578125,0.5
4,ri4,test,20260202_144906,target,4,0.74322509765625,0.87841796875,0.9505126953125,0.9541015625,0.75
4,ri4,test,20260202_144914,target,4,0.8082275390625,0.822998046875,0.9333251953125,0.9375,0.75
4,ri4,test,20260202_144922,target,5,0.96142578125,0.9736328125,0.98466796875,0.98583984375,1.0
4,ri4,test,20260202_144931,target,4,0.8770751953125,0.962158203125,0.9757080078125,0.97607421875,0.75
4,ri4,test,20260202_144939,target,5,0.9658203125,0.96923828125,0.98203125,0.984375,1.0
4,ri4,test,20260202_144947,target,5,0.944140625,0.9541015625,0.98828125,0.98974609375,1.0
4,ri4,test,20260202_144955,target,5,0.9470703125,0.97412109375,0.98203125,0.98291015625,1.0
4,ri4,test,20260202_145004,target,4,0.965087890625,0.973876953125,0.9922607421875,0.99365234375,1.0
4,ri4,test,20260202_145012,target,4,0.783447265625,0.956787109375,0.964111328125,0.96484375,0.75
4,ri4,test,20260204_100845,background,150,0.44649088541666665,0.4361572265625,0.7938232421875,0.95849609375,0.14666666666666667
4,polar6,val,20260202_145020,target,4,0.9022216796875,0.905029296875,0.914013671875,0.9150390625,1.0
4,polar6,val,20260202_145028,target,3,0.8411458333333334,0.84326171875,0.86962890625,0.87255859375,1.0
4,polar6,val,20260202_145037,target,3,0.93017578125,0.93701171875,0.9431640625,0.94384765625,1.0
4,polar6,val,20260202_145045,target,4,0.7364501953125,0.79345703125,0.8577880859375,0.86767578125,1.0
4,polar6,val,20260202_145053,target,4,0.8621826171875,0.861328125,0.8752197265625,0.87646484375,1.0
4,polar6,val,20260202_145102,target,5,0.89453125,0.93798828125,0.94365234375,0.9443359375,1.0
4,polar6,val,20260202_145110,target,4,0.67803955078125,0.728515625,0.763134765625,0.765625,1.0
4,polar6,val,20260202_145118,target,4,0.892333984375,0.89208984375,0.903369140625,0.9052734375,1.0
4,polar6,val,20260202_145126,target,5,0.80107421875,0.837890625,0.869140625,0.8701171875,1.0
4,polar6,val,20260202_145135,target,5,0.82880859375,0.8408203125,0.89697265625,0.90380859375,1.0
4,polar6,val,20260202_145143,target,5,0.95556640625,0.955078125,0.96064453125,0.9609375,1.0
4,polar6,val,20260202_145151,target,5,0.92314453125,0.92529296875,0.93876953125,0.94189453125,1.0
4,polar6,val,20260202_145208,target,4,0.87841796875,0.88232421875,0.8933349609375,0.89501953125,1.0
4,polar6,val,20260202_145216,target,5,0.88037109375,0.900390625,0.94404296875,0.947265625,1.0
4,polar6,val,20260204_100908,background,150,0.03565989176432292,0.0240936279296875,0.08930969238281242,0.24658203125,0.02
4,polar6,test,20260202_144841,target,4,0.7781982421875,0.75830078125,0.8555664062499999,0.86962890625,1.0
4,polar6,test,20260202_144849,target,4,0.70635986328125,0.846923828125,0.8764404296875,0.876953125,1.0
4,polar6,test,20260202_144857,target,4,0.91357421875,0.9140625,0.9275390625,0.9287109375,1.0
4,polar6,test,20260202_144906,target,4,0.8480224609375,0.92626953125,0.939697265625,0.9404296875,1.0
4,polar6,test,20260202_144914,target,4,0.70416259765625,0.771484375,0.8828125,0.88427734375,1.0
4,polar6,test,20260202_144922,target,5,0.6845703125,0.7001953125,0.72666015625,0.73095703125,1.0
4,polar6,test,20260202_144931,target,4,0.6982421875,0.73095703125,0.8080566406249999,0.82080078125,1.0
4,polar6,test,20260202_144939,target,5,0.8869140625,0.87646484375,0.91767578125,0.9208984375,1.0
4,polar6,test,20260202_144947,target,5,0.71328125,0.7216796875,0.75166015625,0.75830078125,1.0
4,polar6,test,20260202_144955,target,5,0.717578125,0.74462890625,0.89208984375,0.92822265625,1.0
4,polar6,test,20260202_145004,target,4,0.755126953125,0.74755859375,0.846484375,0.85205078125,1.0
4,polar6,test,20260202_145012,target,4,0.8751220703125,0.87060546875,0.9007080078125,0.904296875,1.0
4,polar6,test,20260204_100845,background,150,0.59547119140625,0.621826171875,0.866845703125,0.90185546875,0.9733333333333334
4,ri8,val,20260202_145020,target,4,0.9141845703125,0.922607421875,0.935888671875,0.9375,1.0
4,ri8,val,20260202_145028,target,3,0.650390625,0.603515625,0.733154296875,0.74755859375,1.0
4,ri8,val,20260202_145037,target,3,0.9427083333333334,0.94189453125,0.965185546875,0.9677734375,1.0
4,ri8,val,20260202_145045,target,4,0.7037353515625,0.68212890625,0.8814208984374999,0.900390625,1.0
4,ri8,val,20260202_145053,target,4,0.89404296875,0.942138671875,0.9480712890625,0.94873046875,1.0
4,ri8,val,20260202_145102,target,5,0.913671875,0.947265625,0.9587890625,0.96044921875,1.0
4,ri8,val,20260202_145110,target,4,0.9132080078125,0.902587890625,0.957373046875,0.96484375,1.0
4,ri8,val,20260202_145118,target,4,0.83056640625,0.86767578125,0.908837890625,0.9130859375,1.0
4,ri8,val,20260202_145126,target,5,0.71494140625,0.80322265625,0.86162109375,0.87060546875,1.0
4,ri8,val,20260202_145135,target,5,0.839453125,0.88623046875,0.908203125,0.91162109375,1.0
4,ri8,val,20260202_145143,target,5,0.90185546875,0.92626953125,0.955859375,0.9580078125,1.0
4,ri8,val,20260202_145151,target,5,0.9041015625,0.95068359375,0.96796875,0.97119140625,1.0
4,ri8,val,20260202_145208,target,4,0.898681640625,0.8994140625,0.9183349609375,0.91943359375,1.0
4,ri8,val,20260202_145216,target,5,0.89130859375,0.9033203125,0.916015625,0.916015625,1.0
4,ri8,val,20260204_100908,background,150,0.1409722900390625,0.1319580078125,0.24461059570312482,0.358154296875,0.02
4,ri8,test,20260202_144841,target,4,0.85009765625,0.857666015625,0.92392578125,0.92626953125,1.0
4,ri8,test,20260202_144849,target,4,0.707763671875,0.785888671875,0.8736083984374999,0.88525390625,1.0
4,ri8,test,20260202_144857,target,4,0.8251953125,0.82421875,0.9035888671875,0.91552734375,1.0
4,ri8,test,20260202_144906,target,4,0.8851318359375,0.9208984375,0.9453369140625,0.94775390625,1.0
4,ri8,test,20260202_144914,target,4,0.8216552734375,0.849365234375,0.9327880859375,0.93505859375,1.0
4,ri8,test,20260202_144922,target,5,0.890234375,0.9287109375,0.93642578125,0.9365234375,1.0
4,ri8,test,20260202_144931,target,4,0.839599609375,0.900146484375,0.943359375,0.943359375,1.0
4,ri8,test,20260202_144939,target,5,0.901953125,0.90625,0.93671875,0.9384765625,1.0
4,ri8,test,20260202_144947,target,5,0.9345703125,0.94873046875,0.95634765625,0.9580078125,1.0
4,ri8,test,20260202_144955,target,5,0.90537109375,0.94482421875,0.947265625,0.94775390625,1.0
4,ri8,test,20260202_145004,target,4,0.865234375,0.8935546875,0.9068603515625,0.9072265625,1.0
4,ri8,test,20260202_145012,target,4,0.79913330078125,0.888427734375,0.9259765625,0.92626953125,1.0
4,ri8,test,20260204_100845,background,150,0.6224747721354167,0.62939453125,0.90966796875,0.94921875,0.9533333333333334
