fold,mode,model_source,context_role,causality,training_context_match,threshold,samples,background_samples,target_samples,false_alarms,pfa,score_detections,score_pd,correct_detections,joint_pd,joint_precision,joint_f1,roc_auc,background_shift_mean,target_shift_mean
04,full_leave_one_out,frozen complete-scan BC-DPG v3,post-hoc self-inclusion sensitivity,non-causal; excludes self but uses future samples,False,0.254150390625,202,150,52,15,0.1,52,1.0,47,0.9038461538461539,0.7580645161290323,0.8245614035087719,0.9965384615384616,0.8050251200298468,6.662577827508078e-05
04,full_past_only_w04,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.254150390625,202,150,52,89,0.5933333333333334,52,1.0,47,0.9038461538461539,0.34558823529411764,0.5,0.9688461538461538,0.2972780791953361,0.30504917268640735
04,full_past_only_w16,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.254150390625,202,150,52,82,0.5466666666666666,52,1.0,47,0.9038461538461539,0.3643410852713178,0.5193370165745855,0.9791025641025641,0.4822461569060882,0.30504917268640735
04,full_past_only_w64,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.254150390625,202,150,52,57,0.38,52,1.0,47,0.9038461538461539,0.4519230769230769,0.6025641025641025,0.9837179487179487,0.5903455919772387,0.30504917268640735
04,full_past_only_all,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.254150390625,202,150,52,52,0.3466666666666667,52,1.0,47,0.9038461538461539,0.47474747474747475,0.6225165562913907,0.9834615384615385,0.60039953969419,0.30504917268640735
05,raw_dpg,frozen DPG output,sample-level baseline,sample-independent,True,0.361328125,210,150,60,0,0.0,59,0.9833333333333333,57,0.95,1.0,0.9743589743589743,0.9997777777777779,0.0,0.0
05,sample_independent_bc,separately trained no-scan-context BC,online-oriented reference,sample-independent,True,0.361328125,210,150,60,0,0.0,58,0.9666666666666667,57,0.95,1.0,0.9743589743589743,0.9997777777777778,0.37310068905353544,0.04622831044446983
05,full_complete_scan,frozen complete-scan BC-DPG v3,matched frozen offline result,non-causal complete scan,True,0.361328125,210,150,60,0,0.0,59,0.9833333333333333,57,0.95,1.0,0.9743589743589743,1.0,0.12473943561315537,0.001022944208307308
05,full_leave_one_out,frozen complete-scan BC-DPG v3,post-hoc self-inclusion sensitivity,non-causal; excludes self but uses future samples,False,0.361328125,210,150,60,0,0.0,59,0.9833333333333333,57,0.95,1.0,0.9743589743589743,1.0,0.12469576547543208,0.0007474371238155678
05,full_past_only_w04,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.361328125,210,150,60,0,0.0,59,0.9833333333333333,57,0.95,1.0,0.9743589743589743,1.0,0.11269343838095665,0.1688942952417468
05,full_past_only_w16,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.361328125,210,150,60,0,0.0,59,0.9833333333333333,57,0.95,1.0,0.9743589743589743,1.0,0.11586195111274719,0.1688942952417468
05,full_past_only_w64,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.361328125,210,150,60,0,0.0,59,0.9833333333333333,57,0.95,1.0,0.9743589743589743,1.0,0.11960753088196119,0.1688942952417468
05,full_past_only_all,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.361328125,210,150,60,0,0.0,59,0.9833333333333333,57,0.95,1.0,0.9743589743589743,1.0,0.12000024989247322,0.1688942952417468
06,raw_dpg,frozen DPG output,sample-level baseline,sample-independent,True,0.89697265625,163,115,48,0,0.0,40,0.8333333333333334,38,0.7916666666666666,1.0,0.8837209302325582,0.998731884057971,0.0,0.0
06,sample_independent_bc,separately trained no-scan-context BC,online-oriented reference,sample-independent,True,0.89697265625,163,115,48,0,0.0,40,0.8333333333333334,38,0.7916666666666666,1.0,0.8837209302325582,0.998731884057971,0.15341928717882736,0.016448679045424748
06,full_complete_scan,frozen complete-scan BC-DPG v3,matched frozen offline result,non-causal complete scan,True,0.89697265625,163,115,48,0,0.0,40,0.8333333333333334,38,0.7916666666666666,1.0,0.8837209302325582,0.9998188405797102,0.23728660060011822,0.013150162040346913
06,full_leave_one_out,frozen complete-scan BC-DPG v3,post-hoc self-inclusion sensitivity,non-causal; excludes self but uses future samples,False,0.89697265625,163,115,48,0,0.0,40,0.8333333333333334,38,0.7916666666666666,1.0,0.8837209302325582,0.9998188405797102,0.23719474129054857,0.009424775549026284
06,full_past_only_w04,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.89697265625,163,115,48,0,0.0,40,0.8333333333333334,38,0.7916666666666666,1.0,0.8837209302325582,0.9998188405797102,0.2038714639518572,0.0695594891917608
06,full_past_only_w16,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.89697265625,163,115,48,0,0.0,40,0.8333333333333334,38,0.7916666666666666,1.0,0.8837209302325582,0.9998188405797102,0.21510797946349433,0.0695594891917608
06,full_past_only_w64,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.89697265625,163,115,48,0,0.0,40,0.8333333333333334,38,0.7916666666666666,1.0,0.8837209302325582,0.9998188405797102,0.22375232253385627,0.0695594891917608
06,full_past_only_all,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.89697265625,163,115,48,0,0.0,40,0.8333333333333334,38,0.7916666666666666,1.0,0.8837209302325582,0.9998188405797102,0.22492571861847588,0.0695594891917608
