task_id,model_id,heldout_fold,batch_code,category_code,category,record_count,accuracy,evaluation_unit
narrow_x_category,dummy_prior,3,264,all,all,3,0.0,batch
narrow_x_category,dummy_prior,3,267,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,271,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,274,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,278,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,281,all,all,4,0.0,batch
narrow_x_category,dummy_prior,3,282,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,286,all,all,7,0.0,batch
narrow_x_category,dummy_prior,3,299,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,301,all,all,7,0.0,batch
narrow_x_category,dummy_prior,3,305,all,all,7,0.0,batch
narrow_x_category,dummy_prior,3,316,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,324,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,379,all,all,2,0.0,batch
narrow_x_category,dummy_prior,3,380,all,all,3,0.0,batch
narrow_x_category,dummy_prior,3,384,all,all,2,0.0,batch
narrow_x_category,dummy_prior,3,385,all,all,2,0.0,batch
narrow_x_category,dummy_prior,3,386,all,all,4,0.0,batch
narrow_x_category,dummy_prior,3,396,all,all,1,0.0,batch
narrow_x_category,dummy_prior,3,398,all,all,2,0.0,batch
narrow_x_category,dummy_prior,3,411,all,all,100,0.0,batch
narrow_x_category,dummy_prior,3,867,all,all,111,1.0,batch
narrow_x_category,dummy_prior,4,6,all,all,10,0.0,batch
narrow_x_category,dummy_prior,4,8,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,11,all,all,30,0.0,batch
narrow_x_category,dummy_prior,4,15,all,all,27,0.0,batch
narrow_x_category,dummy_prior,4,16,all,all,256,0.9375,batch
narrow_x_category,dummy_prior,4,29,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,32,all,all,176,0.8409090909090909,batch
narrow_x_category,dummy_prior,4,36,all,all,37,0.4594594594594595,batch
narrow_x_category,dummy_prior,4,42,all,all,40,0.15,batch
narrow_x_category,dummy_prior,4,48,all,all,33,0.0,batch
narrow_x_category,dummy_prior,4,51,all,all,32,0.0,batch
narrow_x_category,dummy_prior,4,53,all,all,15,0.0,batch
narrow_x_category,dummy_prior,4,58,all,all,15,0.0,batch
narrow_x_category,dummy_prior,4,61,all,all,23,0.0,batch
narrow_x_category,dummy_prior,4,71,all,all,23,0.0,batch
narrow_x_category,dummy_prior,4,72,all,all,27,0.0,batch
narrow_x_category,dummy_prior,4,73,all,all,29,0.0,batch
narrow_x_category,dummy_prior,4,75,all,all,19,0.0,batch
narrow_x_category,dummy_prior,4,76,all,all,15,0.0,batch
narrow_x_category,dummy_prior,4,79,all,all,27,0.0,batch
narrow_x_category,dummy_prior,4,82,all,all,27,0.0,batch
narrow_x_category,dummy_prior,4,87,all,all,23,0.0,batch
narrow_x_category,dummy_prior,4,89,all,all,15,0.0,batch
narrow_x_category,dummy_prior,4,97,all,all,8,0.0,batch
narrow_x_category,dummy_prior,4,101,all,all,15,0.0,batch
narrow_x_category,dummy_prior,4,102,all,all,11,0.0,batch
