filename,filepath,read_success,has_h,has_v,h_shape,v_shape,h_dtype,v_dtype,h_is_complex,v_is_complex,h_has_nan,v_has_nan,h_has_inf,v_has_inf,shape_valid,data_valid,error
20260202_144556_beam1.mat,data/raw/IQ_Data/20260202_144556_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144556_beam2.mat,data/raw/IQ_Data/20260202_144556_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144556_beam3.mat,data/raw/IQ_Data/20260202_144556_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144604_beam1.mat,data/raw/IQ_Data/20260202_144604_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144604_beam2.mat,data/raw/IQ_Data/20260202_144604_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144604_beam3.mat,data/raw/IQ_Data/20260202_144604_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144604_beam4.mat,data/raw/IQ_Data/20260202_144604_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144613_beam1.mat,data/raw/IQ_Data/20260202_144613_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144613_beam2.mat,data/raw/IQ_Data/20260202_144613_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144613_beam3.mat,data/raw/IQ_Data/20260202_144613_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144613_beam4.mat,data/raw/IQ_Data/20260202_144613_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144629_beam1.mat,data/raw/IQ_Data/20260202_144629_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144629_beam2.mat,data/raw/IQ_Data/20260202_144629_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144629_beam3.mat,data/raw/IQ_Data/20260202_144629_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144629_beam4.mat,data/raw/IQ_Data/20260202_144629_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144637_beam1.mat,data/raw/IQ_Data/20260202_144637_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144637_beam2.mat,data/raw/IQ_Data/20260202_144637_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144637_beam3.mat,data/raw/IQ_Data/20260202_144637_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144637_beam4.mat,data/raw/IQ_Data/20260202_144637_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144645_beam1.mat,data/raw/IQ_Data/20260202_144645_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144645_beam2.mat,data/raw/IQ_Data/20260202_144645_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144645_beam3.mat,data/raw/IQ_Data/20260202_144645_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144645_beam4.mat,data/raw/IQ_Data/20260202_144645_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144710_beam1.mat,data/raw/IQ_Data/20260202_144710_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144710_beam2.mat,data/raw/IQ_Data/20260202_144710_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144710_beam3.mat,data/raw/IQ_Data/20260202_144710_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144710_beam4.mat,data/raw/IQ_Data/20260202_144710_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144718_beam1.mat,data/raw/IQ_Data/20260202_144718_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144718_beam2.mat,data/raw/IQ_Data/20260202_144718_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144718_beam3.mat,data/raw/IQ_Data/20260202_144718_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144718_beam4.mat,data/raw/IQ_Data/20260202_144718_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144727_beam1.mat,data/raw/IQ_Data/20260202_144727_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144727_beam2.mat,data/raw/IQ_Data/20260202_144727_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144727_beam3.mat,data/raw/IQ_Data/20260202_144727_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144727_beam4.mat,data/raw/IQ_Data/20260202_144727_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144735_beam1.mat,data/raw/IQ_Data/20260202_144735_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144735_beam2.mat,data/raw/IQ_Data/20260202_144735_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144735_beam3.mat,data/raw/IQ_Data/20260202_144735_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144735_beam4.mat,data/raw/IQ_Data/20260202_144735_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144751_beam1.mat,data/raw/IQ_Data/20260202_144751_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144751_beam2.mat,data/raw/IQ_Data/20260202_144751_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144751_beam3.mat,data/raw/IQ_Data/20260202_144751_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144751_beam4.mat,data/raw/IQ_Data/20260202_144751_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144751_beam5.mat,data/raw/IQ_Data/20260202_144751_beam5.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144800_beam1.mat,data/raw/IQ_Data/20260202_144800_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144800_beam2.mat,data/raw/IQ_Data/20260202_144800_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144800_beam3.mat,data/raw/IQ_Data/20260202_144800_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144800_beam4.mat,data/raw/IQ_Data/20260202_144800_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144808_beam1.mat,data/raw/IQ_Data/20260202_144808_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144808_beam2.mat,data/raw/IQ_Data/20260202_144808_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144808_beam3.mat,data/raw/IQ_Data/20260202_144808_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144808_beam4.mat,data/raw/IQ_Data/20260202_144808_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144816_beam1.mat,data/raw/IQ_Data/20260202_144816_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144816_beam2.mat,data/raw/IQ_Data/20260202_144816_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144816_beam3.mat,data/raw/IQ_Data/20260202_144816_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
