transfer_id,role,analysis_scope,source_bands,target_band,model_id,feature,importance,importance_type,fit_scope
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,phase_increment_resultant_length,0.0087171117374678104,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,autocorrelation_magnitude_lag1,0.028557662120878471,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,autocorrelation_magnitude_lag2,0.033034378449337681,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,autocorrelation_magnitude_lag4,0.048714519914231202,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,autocorrelation_magnitude_lag8,0.034757741938362563,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,autocorrelation_magnitude_lag16,0.010677178649160943,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,autocorrelation_magnitude_lag32,0.0077483354970388149,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,periodicity_candidate_autocorrelation,0.017782926266577289,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,periodicity_candidate_lag_fraction,0.066641255124771384,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,spectrum_centroid_cycles_per_sample,0.082370508422343211,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,spectrum_abs_centroid_cycles_per_sample,0.05080908371781951,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,spectrum_spread_cycles_per_sample,0.051162705668520506,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,spectrum_entropy_normalized,0.036299599692924692,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,spectrum_dominant_frequency_cycles_per_sample,0.04868074441180837,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,spectrum_dominant_abs_frequency_cycles_per_sample,0.10828694260989849,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,spectrum_peak_power_fraction,0.012985457543962626,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,spectrum_zero_band_power_fraction,0.048149023711039816,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,spectrum_positive_negative_log10_ratio,0.023289101325587678,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,spectrum_flatness,0.090469319373111146,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,spectrum_kurtosis,0.020439414718816763,mean_decrease_impurity,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,envelope_mean_rms_normalized,3.3235147920773676,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,envelope_std_rms_normalized,1.9942710422337409,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,envelope_coefficient_of_variation,0.22240712785330499,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,envelope_skewness,0.69052819999120363,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,envelope_kurtosis,0.65182583709800923,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,envelope_crest_factor,0.10132215386995588,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,phase_increment_mean_cycles_per_sample,1.0048879525292218,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,phase_increment_resultant_length,0.37430713186383824,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,autocorrelation_magnitude_lag1,0.45096619952635009,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,autocorrelation_magnitude_lag2,1.3197297572341704,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,autocorrelation_magnitude_lag4,2.2495856375560739,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,autocorrelation_magnitude_lag8,0.1876843169006443,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,autocorrelation_magnitude_lag16,1.9454017353344502,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,autocorrelation_magnitude_lag32,0.053516013443671809,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,periodicity_candidate_autocorrelation,2.1249009563525201,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,periodicity_candidate_lag_fraction,0.056497919556608829,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,spectrum_centroid_cycles_per_sample,0.94296551765607839,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,Ku,logistic_batch_balanced,spectrum_abs_centroid_cycles_per_sample,2.2339947195162071,mean_abs_standardized_multiclass_coefficient,source_bands_only
